setup,accuracy,macro_f1
features_only,0.7454100367197063,0.48718372839001184
acoustic_only,0.7662178702570379,0.574776934950438
features_plus_acoustic,0.802937576499388,0.6004901502245739
features_plus_embeddings_plus_acoustic,0.8212974296205631,0.6463587414690154
