subtype,n,mean_aq_c0,mean_aq_c1,t_stat,p
Anomic,80,85.825,84.90384615384617,0.8303504654431447,0.4097321392952323
Broca,103,56.35,42.80350877192982,4.70432215171628,9.482510383995622e-06
Conduction,73,68.82608695652173,66.65925925925926,0.7258781750201144,0.47236189721477406
