k,silhouette,stage_age_spearman,cluster_mean_ages,cluster_sizes
3,0.24886346647874508,1.0,"[31.491621551946377, 36.48569468939839, 50.16494069343065]","[5172, 10206, 4384]"
4,0.2685616876220909,1.0,"[27.69206072351421, 37.431842569953815, 50.71624967758576, 53.04935826916025]","[5160, 9816, 3877, 909]"
5,0.21510349491934916,0.9999999999999999,"[26.73887134644968, 34.198649469601385, 43.97949015704491, 54.468333333333334, 54.929779717373236]","[4117, 7133, 6028, 880, 1604]"
6,0.19570772304006281,1.0,"[26.408143834350156, 32.485772357723576, 40.521535347243855, 49.89797130688186, 54.61721778791333, 64.11568123393316]","[3606, 5494, 6422, 2974, 877, 389]"
