d,pca_var_explained,pca_mae_months,pca_pearson_r,ae_val_recon_mse,ae_mae_months,ae_pearson_r,ae_minus_pca_mae
3,0.5150767865440063,11.808724541668974,0.5515538191136595,0.3376356065273285,11.900375177509641,0.5323448312784781,0.0916506358406668
5,0.6053029398659471,10.870057807151104,0.6185793973827026,0.26620110869407654,10.588057798755507,0.6430467152233932,-0.28200000839559713
8,0.6934753547427172,10.661497741284954,0.6380626740489866,0.18404711782932281,10.78008707639869,0.6301738937048309,0.11858933511373593
12,0.7769703156656548,10.424653374870179,0.6497655807074726,0.12033934891223907,10.404768904382621,0.6568302487150168,-0.019884470487557593
20,0.892747384818426,10.150263789281025,0.6614409689774373,0.07030589133501053,10.651152668295786,0.6356644513283867,0.5008888790147612
