modality,context,n_participants,mean_late_minus_early,median_late_minus_early,ci_low,ci_high,n_positive,n_gain_ge_0p20
expressive,between_session,9,0.28395061728395066,0.22222222222222232,0.17592592592592593,0.3982253086419742,9,6
expressive,within_session,9,0.25308641975308643,0.25,0.13271604938271608,0.3704475308641965,8,6
grammaticality_judgment,between_session,9,0.12345679012345682,0.16666666666666663,0.012268518518518607,0.22839506172839508,6,3
grammaticality_judgment,within_session,9,0.1358024691358025,0.16666666666666663,0.04320987654320988,0.23456790123456786,7,3
