mae,rmse,r,outcome,dimension,setup,n,y_mean,y_std,y_max
8.424526051896356,11.817783025448628,0.799194332378258,WAB AQ,summary,subtype_only,338,71.41005917159762,19.62199329086008,99.6
10.855859160792765,14.14660914178786,0.6987771402164434,WAB AQ,summary,features_only,338,71.41005917159762,19.62199329086008,99.6
8.145741050517913,10.724911726742178,0.8374451146666547,WAB AQ,summary,subtype+features,338,71.41005917159762,19.62199329086008,99.6
7.775912978835286,10.234223520173366,0.8546831420376712,WAB AQ,summary,subtype+features+emb,338,71.41005917159762,19.62199329086008,99.6
14.226961728002827,18.13733162618623,0.4606097944151822,WAB AQ,summary,dev_age_only,338,71.41005917159762,19.62199329086008,99.6
9.15321946455156,12.462194238954563,0.7782743172458514,WAB AQ,summary,subtype+dev_age,338,71.41005917159762,19.62199329086008,99.6
7.715515967496384,10.144497712417765,0.8580646252781866,WAB AQ,summary,subtype+features+emb+acoustic,338,71.41005917159762,19.62199329086008,99.6
1.2432553260555312,1.5054597738749553,0.7993130846013764,WAB Fluency,production,subtype_only,334,6.308383233532934,2.5019372894693923,10.0
1.4031672252728902,1.72014164459636,0.7306277152388678,WAB Fluency,production,features_only,334,6.308383233532934,2.5019372894693923,10.0
1.1352127134920063,1.4127159056318692,0.8253755677060628,WAB Fluency,production,subtype+features,334,6.308383233532934,2.5019372894693923,10.0
1.1854424893478337,1.4589992963122165,0.8125518538618145,WAB Fluency,production,subtype+features+emb,334,6.308383233532934,2.5019372894693923,10.0
1.6287667276668976,1.998781152382383,0.627355353398903,WAB Fluency,production,dev_age_only,334,6.308383233532934,2.5019372894693923,10.0
1.2830824956991376,1.5632422172745801,0.7865532036237015,WAB Fluency,production,subtype+dev_age,334,6.308383233532934,2.5019372894693923,10.0
1.1833533135139462,1.4686063111569598,0.809633482296616,WAB Fluency,production,subtype+features+emb+acoustic,334,6.308383233532934,2.5019372894693923,10.0
1.0923647254602051,1.607564998331625,0.677039122883271,WAB InfoContent,content,subtype_only,321,7.76791277258567,2.1788844365936453,10.0
1.249071023271742,1.7550665765145,0.6112257285386137,WAB InfoContent,content,features_only,321,7.76791277258567,2.1788844365936453,10.0
1.0998959166172533,1.556463619327415,0.7031756500189403,WAB InfoContent,content,subtype+features,321,7.76791277258567,2.1788844365936453,10.0
1.086498817115207,1.4740233741755324,0.7364723791950308,WAB InfoContent,content,subtype+features+emb,321,7.76791277258567,2.1788844365936453,10.0
1.5590088989839157,2.053535613262138,0.435941077174434,WAB InfoContent,content,dev_age_only,321,7.76791277258567,2.1788844365936453,10.0
1.2649846813974077,1.812013077781735,0.6002966499596576,WAB InfoContent,content,subtype+dev_age,321,7.76791277258567,2.1788844365936453,10.0
1.1105148517941192,1.5018557405691477,0.7247049576367444,WAB InfoContent,content,subtype+features+emb+acoustic,321,7.76791277258567,2.1788844365936453,10.0
11.381280976160594,15.657522763574859,0.8126316215948421,WAB Repetition,phonological,subtype_only,318,65.5880503144654,26.717779313012752,100.0
17.882435128080747,22.72049348480522,0.5529467951675647,WAB Repetition,phonological,features_only,318,65.5880503144654,26.717779313012752,100.0
12.011230392605295,16.077982927828455,0.7994920304603885,WAB Repetition,phonological,subtype+features,318,65.5880503144654,26.717779313012752,100.0
11.018903205291332,14.509746138417926,0.8409266325102053,WAB Repetition,phonological,subtype+features+emb,318,65.5880503144654,26.717779313012752,100.0
20.83568714942631,26.537123559534766,0.3576086987210847,WAB Repetition,phonological,dev_age_only,318,65.5880503144654,26.717779313012752,100.0
12.213740922443659,16.708582382944687,0.7928766943926967,WAB Repetition,phonological,subtype+dev_age,318,65.5880503144654,26.717779313012752,100.0
11.108587436824754,14.537719107859765,0.8410593864040544,WAB Repetition,phonological,subtype+features+emb+acoustic,318,65.5880503144654,26.717779313012752,100.0
9.908966629485743,13.537275511301837,0.5781680161431567,WAB Object Naming,lexical,subtype_only,318,44.77987421383648,16.543500043668804,60.0
11.564633645000438,15.686050229637585,0.42714106903176935,WAB Object Naming,lexical,features_only,318,44.77987421383648,16.543500043668804,60.0
10.245586727590796,13.857636751001351,0.5656236745678083,WAB Object Naming,lexical,subtype+features,318,44.77987421383648,16.543500043668804,60.0
