feature_set,n,n_features,auc,balanced_accuracy,accuracy,dld_f1,auc_label_permutation_p
clinical_background_upper_bound,33,6,1.0,1.0,1.0,1.0,0.000999000999000999
sentence_repetition_level,33,6,0.9444444444444444,0.9388888888888889,0.9393939393939394,0.9333333333333333,0.000999000999000999
sentence_repetition_plus_reading,33,5,0.9222222222222222,0.9388888888888889,0.9393939393939394,0.9333333333333333,0.000999000999000999
sentence_repetition_plus_rhythm,33,10,0.9222222222222222,0.9111111111111111,0.9090909090909091,0.9032258064516129,0.000999000999000999
reading_age_only,33,1,0.7851851851851852,0.7166666666666667,0.7272727272727273,0.6666666666666666,0.003996003996003996
rhythm_response_only,33,4,0.6518518518518518,0.6277777777777778,0.6363636363636364,0.5714285714285714,0.07592407592407592
age_only,33,1,0.4111111111111111,0.5666666666666667,0.5757575757575758,0.5,0.7942057942057942
