group,prime,n_participants,n_trials,mean_participant_score,mean_participant_score_ci_low,mean_participant_score_ci_high,mean_participant_sum,sd_participant_sum
DLD,Irregular,15,270,0.55,0.43703703703703717,0.6555555555555556,9.9,4.000892757515859
DLD,Regular,15,270,0.6185185185185186,0.524074074074074,0.7092592592592591,11.133333333333333,3.4093708398778686
TD,Irregular,18,324,0.9074074074074073,0.8765432098765433,0.9382716049382717,16.333333333333332,1.1881770515720091
TD,Regular,18,324,0.9290123456790123,0.8888888888888888,0.9645061728395061,16.72222222222222,1.5264551613058026
