effect,estimate,ci_low,ci_high,p_value,n
regular_minus_irregular_mean_all,0.04292929292929293,0.008417508417508426,0.07744107744107745,0.02459508098380324,33
regular_minus_irregular_mean_td,0.021604938271604937,-0.016975308641975287,0.06018518518518518,,18
regular_minus_irregular_mean_dld,0.0685185185185185,0.01111111111111109,0.12777777777777777,,15
dld_minus_td_rhythm_delta,0.04691358024691357,-0.022530864197530857,0.11544753086419732,0.20655868826234752,33
dld_minus_td_overall_sentence_repetition,-0.3339506172839508,-0.4351890432098765,-0.23564814814814838,0.0001999600079984003,33
