term,estimate_score_points,cluster_boot_ci_low,cluster_boot_ci_high
intercept,1.0996690946830323,1.0303202057363239,1.1708848964811305
regular,0.021604938271605256,-0.01633986928104625,0.05994152046783682
is_dld,-0.3546267188336255,-0.45712133428895557,-0.24536972220762535
regular_x_dld,0.04691358024691358,-0.026852022058823265,0.12040857351712594
Age_z,0.07675982201378241,0.03839491660680562,0.12171484033232158
Reading_z_filled,0.004902332584106486,-0.02968155662984415,0.03977545644559738
Reading_missing,-0.17044866956744392,-0.3733860686669586,0.01985865650023085
senttype_OO,-0.36489898989898994,-0.4494949494949504,-0.27777777777777724
senttype_OS,-0.16919191919191962,-0.23358585858585873,-0.10858585858585834
