wab_type,n,n_targets_mean,n_targets_std,aq_mean
Anomic,117,6.982905982905983,8.201117360776061,84.45897435897436
Broca,74,5.486486486486487,7.903949495227214,53.97432432432432
Conduction,56,9.75,10.670690528903759,70.44642857142857
NotAphasicByWAB,25,3.12,3.126766167571005,96.024
TransMotor,4,10.75,14.863265679744362,69.9
TransSensory,1,0.0,,66.4
Wernicke,28,8.035714285714286,9.882577797080268,55.01428571428572
