setup,mae,rmse,r
subtype_only,11.062541017528892,17.475946836115266,0.7460342883758599
features_only_55,17.803743681223345,25.159078719289784,0.3254309922532091
embeddings_only,18.17446650214333,25.53393103078677,0.32662752300341497
subtype_plus_features_55,10.42859618224598,17.09353797732025,0.7567805441608718
subtype_plus_embeddings,9.958473059755049,16.434241024856895,0.7704636911080261
subtype_plus_features_plus_embeddings,9.692646979979958,16.519258496100846,0.7698581481145688
features_plus_embeddings_no_subtype,17.491777938026708,25.51642819525187,0.32962776488762824
