subtype,n,n_c0,n_c1,mean_aq_c0,mean_aq_c1,t_stat,p
Anomic,241,132,109,86.62878787878786,84.33119266055046,2.9795727801475658,0.0032082605743571834
Broca,205,95,110,55.26421052631577,49.74545454545454,2.6928709285115477,0.007677734791243535
Conduction,150,39,111,68.61794871794872,69.92972972972971,-0.6092684364327374,0.544632541935149
Wernicke,51,20,31,58.239999999999995,48.835483870967735,2.3284249142334796,0.02456875387675513
