corpus,feature,n,mean_change,std_change,t_stat,p
Fridriksson,z1,4,-0.9471001301561308,2.084705069052551,-0.9086178608339696,0.4305392805291066
Fridriksson,z2,4,-0.6974256078020005,0.4973910697555819,-2.8043350603166863,0.06760936819058498
Fridriksson,z3,4,2.4077124470935507,1.2454657447211692,3.8663647832925045,0.030601825799833626
Fridriksson,z4,4,-0.554876776141241,1.5194953264983453,-0.7303435113814353,0.5180461375999428
Fridriksson,z5,4,-0.0007335591614822112,0.9754888837425099,-0.0015039826157072674,0.9988944151233964
Fridriksson,z6,4,1.0828955223860002,0.7579599095069315,2.857395249546763,0.06471503255365689
Fridriksson,z7,4,-0.009216828353931755,0.7435398733763237,-0.02479175275988701,0.9817779425151277
Fridriksson,z8,4,0.0028491553057882757,0.9746996165181881,0.005846222277107277,0.9957024442800568
Fridriksson,mlu_morphemes,4,-0.8362599747022957,2.0780676132855893,-0.804843855277743,0.47978540992960433
Fridriksson,mlu_words,4,-0.3072406408616097,0.654744526481788,-0.9385054122179232,0.4172194877285571
Fridriksson,ttr,4,0.07692823081687201,0.07949824584714905,1.9353441072091477,0.14838688939388042
Fridriksson,ndw,4,-2.708333333333334,32.63898345139966,-0.16595696599228443,0.8787447174499572
Fridriksson,verbs_per_utterance,4,0.010449746569414324,0.15992603289702018,0.1306822457872527,0.9042975194793808
Fridriksson,utt_len_std,4,-0.42479300343813553,0.3959846915054134,-2.1455021497078675,0.12122140007284941
Fridriksson,function_word_ratio,4,-0.08444777862889638,0.08741418148037307,-1.9321299404458137,0.1488550836436581
Fridriksson,hapax_ratio,4,0.09997818335516989,0.07967018286782646,2.509801779193468,0.08695274390256917
Fridriksson,single_word_ratio,4,0.00044678594935276816,0.16048935113732546,0.005567795572560676,0.9959071127517546
Holland1,z1,15,0.310566779486595,2.1669172888950547,0.5550834685758544,0.5875975572950417
Holland1,z2,15,-0.18477922681749245,0.8722681772270116,-0.820443628316594,0.4257126916476084
Holland1,z3,15,0.114619980744869,1.4079328003280493,0.31530004589995947,0.7571846315176323
Holland1,z4,15,0.4006002685471574,2.2685946408325024,0.6839115903050892,0.5051943628838885
Holland1,z5,15,0.043720644455558115,0.9053677310462929,0.18702823400403934,0.8543218016310014
Holland1,z6,15,0.07972290203990937,0.9148538528112258,0.3375025103333156,0.7407450307992738
