setup,mae,r,d,accuracy,macro_f1
PCA_aq_regression,18.662651673306183,0.25706197907371847,8,,
NMF_aq_regression,18.249186449596973,0.33016070995936886,8,,
raw_aq_regression,17.675646982170473,0.34571978429302797,raw,,
PCA_subtype,,,8,0.3890160183066362,0.2047875004280875
NMF_subtype,,,8,0.4096109839816934,0.22953562153298496
raw_subtype,,,raw,0.4405034324942792,0.24196662894189375
