bin_age_lo,bin_age_hi,n,coverage,mean_width,median_mae
6.0,21.6,438,0.4977168949771689,11.862245398309428,5.08933161008848
21.6,37.2,2950,0.5776271186440678,17.927084631944894,6.58687170386118
37.2,52.8,1858,0.8476856835306782,22.533222968374474,6.470148331965614
52.8,68.4,1935,0.7328165374677003,23.684518559519258,8.607888420417085
68.4,84.0,302,0.076158940397351,26.035528982589927,22.03695936713342
