feature_set,observed_auc,perm_mean_auc,perm_p_auc_ge_observed,permutations
simple_disfluency,0.5969387755102041,0.49339002267573695,0.12437810945273632,200
all_transcript,0.5901360544217688,0.4913548752834467,0.14427860696517414,200
all_available,0.5680272108843537,0.4967743764172336,0.15920398009950248,200
