feature_set,n,n_features,persistent_rate,balanced_accuracy,macro_f1,persistent_f1,auc
majority_baseline,84,0,0.5,0.47619047619047616,0.47139588100686497,0.42105263157894735,0.47619047619047616
age_sex_ses,84,4,0.5,0.5238095238095238,0.5169637722829212,0.574468085106383,0.5668934240362812
simple_disfluency,84,7,0.5,0.5952380952380952,0.5915331807780321,0.5526315789473685,0.5969387755102041
language_structure,84,10,0.5,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.5697278911564626
baseline_tests,84,8,0.5,0.5833333333333333,0.5804195804195804,0.6153846153846154,0.5861678004535148
all_transcript,84,17,0.5,0.5714285714285714,0.5692307692307692,0.5384615384615384,0.5901360544217688
all_available,84,29,0.5,0.5238095238095238,0.5235394214407261,0.5121951219512195,0.5680272108843537
