rec_per,n,mlu_words_mean,ndw_mean,ttr_mean,repetition_per_utt_mean,retracing_per_utt_mean,filler_per_utt_mean,stutter_arrow_spans_per_utt_mean,repeated_sound_runs_per_utt_mean,spelt3_mean,bbtop_ci_mean
Per,42,4.205991498974359,281.6904761904762,0.30850492931338724,0.254683823185074,0.07408190505456724,0.09641687885978853,0.1218978419434899,0.037627325790379806,95.80952380952381,90.3452380952381
Rec,42,4.35357752952404,305.8095238095238,0.3052418112271229,0.2082611156991374,0.08170606439740381,0.08765659192149859,0.09423398773760781,0.02915332723543218,98.30952380952381,95.35714285714286
