feature_set,n,n_features,persistent_rate,auc,balanced_accuracy,macro_f1,persistent_f1
majority_baseline,253,0,0.30039525691699603,,0.5,0.4116279069767442,0.0
demographics,253,2,0.30039525691699603,0.5206289027653881,0.49676628010704726,0.486815415821501,0.35294117647058826
first_disfluency,253,12,0.30039525691699603,0.6294974724947964,0.6369313113291704,0.6233554909292343,0.5057471264367817
first_language,253,15,0.30039525691699603,0.7166220636336604,0.6876672613737733,0.6599462365591398,0.5698924731182796
first_all_transcript,253,62,0.30039525691699603,0.6664436515016354,0.611544751709783,0.6003575830165426,0.47398843930635837
