feature_set,n,n_features,persistent_rate,auc,balanced_accuracy,macro_f1,persistent_f1
majority_baseline,152,0,0.3157894736842105,,0.5,0.40625,0.0
demographics,152,2,0.3157894736842105,0.49609375,0.5288461538461539,0.515217787497722,0.4067796610169492
first_disfluency,152,12,0.3157894736842105,0.6312099358974359,0.6057692307692308,0.6016307513104251,0.47058823529411764
first_language,152,15,0.3157894736842105,0.672676282051282,0.641025641025641,0.6144927536231883,0.5333333333333333
first_all_transcript,152,62,0.3157894736842105,0.6035657051282052,0.561698717948718,0.5547996976568406,0.42592592592592593
movement_only,152,124,0.3157894736842105,0.4208733974358974,0.45993589743589747,0.4591773803311352,0.29906542056074764
first_plus_movement,152,186,0.3157894736842105,0.5939503205128205,0.5889423076923077,0.5889423076923077,0.4375
