feature_set,auc_ci_low,auc_ci_high,balanced_accuracy_ci_low,balanced_accuracy_ci_high,bootstraps
majority_baseline,0.5,0.5,0.5,0.5,1000
demographics,0.40086761786490044,0.6000807793098281,0.4486043566362715,0.6213833173501508,1000
first_disfluency,0.5310203841747094,0.7280171590551029,0.52781893889076,0.6892491052853179,1000
first_language,0.5787101478093724,0.7552354738330348,0.5528697094557037,0.7188463420099929,1000
first_all_transcript,0.5098753328301148,0.6987341181856226,0.48232284382284385,0.6457378772795267,1000
movement_only,0.3238940377939379,0.5263013710916042,0.37958012820512815,0.5448295195101184,1000
first_plus_movement,0.4864749537247937,0.6893692310867114,0.5035277149321267,0.6708436222806069,1000
delta_first_plus_movement_minus_first_all,-0.11844969884404566,0.08289583333333338,-0.06708466010517693,0.12004665612935371,1000
