held_out_corpus,feature_set,n,n_features,persistent_rate,auc,balanced_accuracy,macro_f1,persistent_f1
IISRP,first_all_transcript,87,62,0.21839080459770116,0.6369969040247678,0.49264705882352944,0.43506493506493504,0.0
IISRP,first_plus_movement,87,186,0.21839080459770116,0.33591331269349844,0.46439628482972134,0.4577691811734365,0.12121212121212122
Purdue,first_all_transcript,65,62,0.4461538461538462,0.524904214559387,0.5205938697318008,0.41964285714285715,0.125
Purdue,first_plus_movement,65,186,0.4461538461538462,0.4080459770114943,0.46455938697318006,0.4392156862745098,0.26666666666666666
