feature_set,observed_auc,perm_mean_auc,perm_p_auc_ge_observed,permutations
first_all_transcript,0.6035657051282052,0.493125,0.04975124378109453,200
movement_only,0.4208733974358974,0.5012389823717949,0.900497512437811,200
first_plus_movement,0.5939503205128205,0.4947095352564102,0.0845771144278607,200
