model,z_l2_unweighted,z_l2_weighted,age_mae_unweighted,age_mae_weighted
mean,3.2666945889001857,3.2666945889001857,9.942289970391748,9.942289970391748
linear,3.0264991071138367,3.0264991071138363,7.701556851394365,7.701556851394365
gp,2.626746592800725,2.6267465895258555,8.463352117572397,8.463352117572397
