phenotype,arm,n,strat_mean,ipw_mean,identified
broca_like,naming,55,0.8600621564948749,0.9494083316171629,True
broca_like,syntax,307,1.4500765775930533,1.457881234946742,True
broca_like,conversation,54,0.9190252910938426,0.9583800727553111,True
broca_like,script,32,0.2632506545548452,0.3520077873759717,True
anomic_like,naming,201,1.3191784666969493,1.3449972699276989,True
anomic_like,syntax,48,0.6902244560681128,0.7374247466968549,True
anomic_like,conversation,123,1.0796112546762837,1.1105342021326439,True
anomic_like,script,76,1.0685594485617882,1.1363639892985944,True
wernicke_like,naming,52,0.9914289055254576,1.0744073551727709,True
wernicke_like,syntax,33,0.551452305809813,0.6726122824538094,True
wernicke_like,conversation,333,1.3917073428309203,1.3964119363479808,True
wernicke_like,script,30,0.5020398517033554,0.5349367940923259,True
conduction_like,naming,104,0.8561407121930318,0.8944862240114001,True
conduction_like,syntax,72,0.7848503345352406,0.849259794659318,True
conduction_like,conversation,59,0.6170245176703509,0.6540561427990188,True
conduction_like,script,213,1.0102397962004563,1.0287141427898387,True
