subtype,n_pwa,n_chi_matched,n_ctl_matched,mlu_lo,mlu_hi,f1_pwa_vs_chi,f1_ctl_vs_chi,delta_f1,chance
Broca,300,16414,194,1.6982539682539683,5.508004694835681,0.9883527454242929,0.3449612403100775,0.6433915051142154,0.9820509752303458
Anomic,485,2386,749,4.215238095238095,8.848484848484848,0.9979338842975206,0.8894440974391006,0.10848978685842003,0.8310693138279345
Conduction,317,4620,477,3.5160816326530613,8.053333333333336,0.9890453834115805,0.7433476394849785,0.24569774392660204,0.9357909661737898
Wernicke,111,4031,239,3.6354166666666665,7.313131313131313,0.9775784753363229,0.6817391304347826,0.2958393449015403,0.9732013520038628
