diagnosis,n_windows,z1_mean,z2_mean,z3_mean,z4_mean,z5_mean,z6_mean,z7_mean,z8_mean,z1_std,z2_std,z3_std,z4_std,z5_std,z6_std,z7_std,z8_std
DS,228,-4.07808624628514,-0.13555531623981518,0.34964934595057007,0.8070631816933902,0.2757836176865731,0.246221628746258,0.15939071223219242,-0.19447526644966737,2.294806012833715,1.8219993827577308,0.9469398098521048,1.5961140315392617,1.383693056905962,1.6396729868022673,1.3872227964457182,1.2598134304360715
SLI,619,-0.894424405862619,0.5126889731656621,0.281003782440943,-0.21287277095627288,-0.252977138492868,-0.2460172085880589,0.2654279689325088,-0.16940526039695084,4.314884276890388,2.0817498501715885,1.489801162959961,1.3531822093789034,1.3409742301651608,1.3738911587693696,1.3135112224812944,1.1635816957901342
TD,1579,0.9394885189246189,-0.18141093241726858,-0.160646860169521,-0.03308559860934783,0.059350338121942285,0.060890513465396805,-0.12706839465368117,0.09449158767336084,4.678019129977782,2.5189763229287907,1.8804551740750297,1.5135284231698847,1.4138003632867018,1.27336967015881,1.1306220765691293,1.1256777129380584
