d,var,mae,rmse,r
3,0.6436659059138867,26.92280504916297,33.03719997756753,0.25918745627167783
5,0.7379699277580989,26.258846490991683,32.39742528854326,0.31831354975454595
8,0.8290494603197807,25.80046224369634,31.94444037209895,0.3520232813026756
12,0.9060799746862174,25.483562607343327,31.645242719720407,0.3724676854168235
20,0.978864218957542,24.87686135398669,30.70726444051414,0.425602532175032
