subtype,f1,n
Acute_Aphasia,0.1652892561983471,92
Anomic,0.43263757115749524,485
Broca,0.7168674698795181,300
Chronic_Aphasia,0.11607142857142858,166
Conduction,0.4025764895330113,317
Control,0.8273423688862699,1546
NotAphasic,0.32386363636363635,434
TransMotor,0.1702127659574468,40
Wernicke,0.1830065359477124,111
