model,n_test,mae_months,rmse_months,pearson_r,mae_std_across_folds,n_features
mlu_only_ridge,19762,8.015689484066426,10.880028861637978,0.5976545532986279,0.7052601989504791,1
kideval_ridge,19762,7.228110917693278,10.083719754901844,0.6692203311962941,0.7275395542728088,5
ridge_full,19762,7.333749281566362,10.393511494080244,0.6581302651596542,0.749733388721757,55
gbm_full,19762,6.4397496879926726,9.096453325738796,0.7426719402416132,0.7051146728886063,55
