model,direction,mae,rmse,bias,r,n_test,n_train
ridge,NA→UK,6.0638420295975735,7.7441588175482865,1.8337434827984898,0.6859740955188646,9044,7483
ridge,UK→NA,9.28753768235485,12.44567894884811,-2.5371425835658568,0.6108120839888477,7483,9044
gbm,NA→UK,5.192059937957852,6.866314324453327,0.7458446453325036,0.7299795260249756,9044,7483
gbm,UK→NA,9.048889607927057,12.257941957611767,-3.2795811326494904,0.6267016075189775,7483,9044
